"Empty block",,"warning","""str_dbl""->""buffer""
""precision""->""0""

""str_dbl""->""buffer""
""precision""->""17""

""str_dbl""->""buffer""
""b_found_dot""->""true""

""str_dbl""->""buffer""
""b_found_exponent""->""true""

""str_dbl""->""buffer""
""decimals""->""0""

""str_dbl""->""buffer""
""decimals""->""17""
","/src/main/java/com/esri/core/geometry/StringUtils.java","95","23","95","57"
"Empty block",,"warning","""buffer""->""non_zero""
""precision""->""0""

""buffer""->""non_zero""
""precision""->""17""

""buffer""->""non_zero""
""b_found_dot""->""true""

""buffer""->""non_zero""
""b_found_exponent""->""true""

""buffer""->""non_zero""
""decimals""->""0""

""buffer""->""non_zero""
""decimals""->""17""
","/src/main/java/com/esri/core/geometry/StringUtils.java","96","13","96","42"
